"week_ID","zone","week_start_date","moon_phase","sampling_flag_plankton","sampling_flag_eDNA","sampling_flag_eDNA2","sampling_flag_sediment","sampling_flag_sediment2","sampling","n_replicas","sampling_calendar"
40,"Z2",2025-10-01,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
41,"Z2",2025-10-08,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
42,"Z2",2025-10-15,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
43,"Z2",2025-10-22,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
44,"Z2",2025-10-29,"Waxing",FALSE,TRUE,FALSE,TRUE,FALSE,"eDNA",3,"eDNA"
45,"Z2",2025-11-05,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
46,"Z2",2025-11-12,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
47,"Z2",2025-11-19,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
48,"Z2",2025-11-26,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
49,"Z2",2025-12-03,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
50,"Z2",2025-12-10,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
51,"Z2",2025-12-17,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
52,"Z2",2025-12-24,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
53,"Z2",2025-12-31,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
1,"Z3",2025-01-01,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
